"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Sweet Coppin cider apple tree","Apple Cider tree","Sweet Coppin is a good quality traditional English cider variety, producing a sweet juice which is low in tannin and acid.  It is therefore a good variety for providing sweetness to tannic or sharp blends.
Fill in the form below and we will notify you when Sweet Coppin cider apple tree is back in stock.
Sweet Coppin is a weak-growing, heavy-cropping variety - a combination that invariably leads to biennial bearing in cider apples. Counter this by thinning the fruitlets to prevent it setting an over-heavy crop.
Advice on fruit tree pollination.
Sweet Coppin originates from the south-western English county of Devon.","Very late","Hard cider","Light","1-3 days",,"Sweet (cider)",,"Fruit drops when ripe",,,"Average","Not self-fertile",3,"Average","Diploid","Slightly small",,"Biennial tendency",,,"Average",,"Some susceptibility",,,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F)",,,"United Kingdom","1850 - 1899","Green / Red","Large",
"Vilberie cider apple tree","Apple Cider tree","Vilberie is a traditional French hard-cider variety, producing a very tannic but sweet bittersweet juice.
The juice would normally be blended with juice from other varieties to produce a balanced cider.
Fill in the form below and we will notify you when Vilberie cider apple tree is back in stock.
Like a number of traditional English and French cider varieties, Vilberie is very late-blooming - in southern England or northern France it will typically flower in the last week of May. This can make cross-pollination an issue unless you have other late-flowering varieties available, although it seems to have reasonable self-fertility.
Advice on fruit tree pollination.
Vilberie is an old French variety, introduced to England in the late 19th century.","Very late","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,"Normal ripening",,,"Experienced","Partially self-fertile",6,"Average","Diploid","Slightly large","Precocious",,,,"Average",,,"Some susceptibility",,,,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"France","1800 - 1849","Green","Average",
"Yarlington Mill cider apple tree","Apple Cider tree","Yarlington Mill is a heavy-cropping traditional English cider apple variety, and quite widely grown in the English cider-producing regions. It produces a bittersweet juice.
Fill in the form below and we will notify you when Yarlington Mill cider apple tree is back in stock.
Yarlington Mill can become a biennial bearer, but this can be controlled by thinning the crop in the ""on"" year.
Advice on fruit tree pollination.
Yarlington Mill is named after the town of Yarlington, Somerset, England. It was discovered in the early 20th century.","Very late","Hard cider","Heavy","2-3 weeks",,"Bittersweet (cider)",,"Fruit drops when ripe",,,"Average","Not self-fertile",5,"Average","Diploid","Average vigour","Slow to start bearing","Biennial tendency","Spur-bearer",,"Average","Some susceptibility",,"Some susceptibility",,"Very resistant",,"(5) -20F / -29C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom","1900 - 1949","Orange / Red","Average",
"Centennial Crab crab apple tree","Crabapple tree","Fill in the form below and we will notify you when Centennial Crab crab apple tree is back in stock.
Centennial Crab is cold-hardy to zone 4, possibly zone 3.
Advice on fruit tree pollination.","Mid","Eating fresh, Culinary","Heavy","2-3 weeks",,"Sharper",,"Normal ripening",,"Puree","Beginner","Not self-fertile",3,"Good",,"Weak growing",,,"Spur-bearer",,"Good","Very resistant",,"Some resistance",,,,"(3) -40F / -40C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1950 - 1999","Orange / Red","Large",
"Chestnut Crab crab apple tree","Crabapple tree","Malus domestica 'Chestnut Crab'
Chestnut Crab is a large-fruited crab-apple. The fruitlets are edible and have a good juice quality.
Fill in the form below and we will notify you when Chestnut Crab crab apple tree is back in stock.
Chestnut Crab is one of the best choices for north-country growers, very cold-hardy.
Advice on fruit tree pollination.
Chestnut Crab was developed at the University of Minnesota, and is related to one of their cold-hardy apple varieties, Malinda.","Mid","Eating fresh, Culinary, Juice, Hard cider","Good","2-3 weeks","Sharper","Sharper",,"Ripens over a period",,,"Beginner","Not self-fertile",3,"Average","Diploid","Slightly small",,,,,"Good",,,,"Some resistance",,,"(3) -40F / -40C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States","1950 - 1999","Orange / Red","Large",
"Golden Hornet crab apple tree","Crabapple tree","Malus x zumi 'Golden Hornet'
Golden Hornet produces pink-white blossom in spring, followed by a mass of small yellow fruit which will stay on the tree until late in the year providing a useful color feature in the garden. The leaves also turn an attractive yellow color in the fall.
Golden Hornet is an excellent pollinator for most apple varieties, particularly mid and late-blooming varieties, as it produces a lot of blossom over a long period.
The fruits are useful in the kitchen, for crab-apple jelly and a source of pectin for jam-making.
Fill in the form below and we will notify you when Golden Hornet crab apple tree is back in stock.
Thought to come from the UK in the first half of the 20th century. It is possibly a natural cross between Malus sieboldii calocarpa and Malus prunifolia coccinea.","Very late","Culinary","Heavy",,,,,"Persistent",,,"Average","Self-fertile",5,"Good",,"Vigorous",,"Regular",,,"Average","Some susceptibility",,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United Kingdom","1900 - 1949","Yellow",,
"Hewe's Virginia crab apple tree","Crabapple tree","Malus domestica 'Hewe's Virginia'
Hewe's Crab is a very old crab apple, also commonly known as Virginia Crab.
Although most crab apples are grown for their ornamental value, Hewe's Crab is grown primarily for cider production. It produces a high quality clear juice which adds a dry flavor to cider blends.
This is also a good pollinator of other apple trees, since it produces lots of blossom over quite a long period.
Crab apple photo courtesy of apple enthusiast Mike, Glen Rock PA
Fill in the form below and we will notify you when Hewe's Virginia crab apple tree is back in stock.
This variety is thought to have originated in Virginia in the 18th century. Widely known as both Hewe's Crab and Virginia Crab.","Late","Culinary, Juice, Hard cider","Good","1-2 months",,,"Clear",,,,"Average","Self-fertile",3,"Good",,"Average vigour",,"Biennial tendency",,,,,,,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"United States",,,,
"Kerr crab apple tree","Crabapple tree","Malus domestica x Malus baccata 'Kerr'
Kerr is an interesting apple / crab-apple cross. The attractive crimson-pink fruits are small by apple standards, but relatively large for a crab-apple.
The fruits are extremely juicy, and have a good rich sweet-tart balance. They can be eaten fresh, but this is first and foremost an apple for juicing.
Fill in the form below and we will notify you when Kerr crab apple tree is back in stock.
Kerr is easy to grow, and very cold-hardy.
Advice on fruit tree pollination.
Kerr is a cross between a crab-apple, Malus Dolgo, and Haralson. It can be considered a large-fruited Malus Dolgo in most respects. It was developed at the Morden Research Station of Agriculture Canada in Manitoba, and introduced in the 1950s.","Mid","Eating fresh, Culinary, Juice","Heavy","3 months or more","Sweeter","Sweeter",,,,,"Beginner","Partially self-fertile",2,"Good","Diploid","Slightly large","Precocious","Regular","Spur-bearer","Suitable","Average",,,"Some resistance",,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"Canada","1900 - 1949","Red","Large",
"Dolgo crab apple tree","Crabapple tree","Malus baccata 'Dolgo'
Malus Pink Glow, also known as Malus Dolgo, is named for its elongated dusky pink fruits, which form in plum-like clusters in September.
The fruit is on the larger size for a crab apple, making it easy to use in the kitchen - it is perfect for crab apple jelly and a good source of pectin for other fruit jellies.
The blossom is plain white but borne in profusion early in the apple-blossom season, making Pink Glow an excellent pollinator for all early-flowering apple varieties.

Fill in the form below and we will notify you when Dolgo crab apple tree is back in stock.
Malus Dolgo / Pink Glow has good all round disease-resistance, and is a generally hardy tree. It can be grown in zone 4 and possibly zone 3.
Advice on fruit tree pollination.
Widely known as both Malus Dolgo and Pink Glow.","Early","Culinary","Heavy","1 week",,,,"Normal ripening",,,"Beginner","Self-fertile",2,"Good","Diploid","Weak growing",,"Regular",,"Suitable","Good",,,,,,,"(4) -30F / -34C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"Russia","1850 - 1899",,,
"Puget SpiceÂ® crab apple tree","Crabapple tree","Malus domestica 'Puget Spice'
Puget Spice is considered a crab-apple because of the fruit size, but its parentage is mainstream apples. Strangely, it is far more akin to hard cider apples, and its tannin levels would classify it as a bittersharp.
Fill in the form below and we will notify you when Puget Spice crab apple tree is back in stock.
Puget Spice was developed at Washington State University, from two mainstream apples - Alkmene and Prima.","Mid","Culinary, Juice, Hard cider","Good","2-3 weeks",,"Bittersharp (cider)",,,,,,,3,,,"Average vigour",,,,,,"Very resistant","Very resistant",,,,,,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,,,,,
"Roberts Crab crab apple tree","Crabapple tree","Malus 'Roberts Crab'
Roberts Crab is an unusual crab-apple, grown both for its attractive ornamental qualities, and for culinary uses.
The abundant spring blossom is dark pink, and the leaves have a bronze tint.
Ripening in late summer, the crab-apples have an unusual dark purple color. They are also very large - the size of small apples.
The main attraction in the kitchen is that the purple fruits have a rich red flesh, making Roberts Crab an excellent variety for crab-apple jams and jellies.
The red flesh also contains anthocynanin compounds, which may have anti-oxidant qualities. A 2009 study by researchers at USDA found Roberts Crab to have particularly high levels of Cyanidin-3-0-galactoside.
The juice is a dark red claret color, which is darker than that of other red-fleshed crab-apples. The juice flavor is sharp and crab-like, and can be used in hard cider blends.
Fill in the form below and we will notify you when Roberts Crab crab apple tree is back in stock.
Unlike most crab apples this variety is not a good pollinator of other apple varieties..
Roberts Crab is very precocious, and is likely to blossom and fruit within a 1-2 years after planting. It grows with an attractive upright spreading form and is reasonably vigorous.
Advice on fruit tree pollination.","Mid","Culinary, Juice, Hard cider","Heavy","2-3 weeks",,"Sharper",,"Normal ripening",,,"Beginner","Self-fertile",2,"Average",,"Average vigour","Precocious",,"Spur-bearer",,,,,,,,,,,,,"United Kingdom","1950 - 1999","Purple","Very large",
